name,type,<details depending on type>
europe,woeid,24865675

germany,woeid,23424829

thessaloniki,bbox,22.8996,40.5875,22.9878,40.6528

thessaloniki,woeid,56558194

norway,woeid,23424910
greece,woeid,23424833
germany,woeid,23424829
uk,woeid,23424975
belgium,woeid,23424757

berlin,woeid,638242
berlin,centroid,52.520007,13.404954,10
stuttgart,woeid,698064
stuttgart,centroid,48.775846,9.182932,10




slattern,textual,slattern

children,textual,children
drinking,textual,drinking
erotic,textual,erotic
relatives,textual,relatives
vacations,textual,vacations
wedding,textual,wedding




